id_veiculo,classe,frame_entrada,frame_saida,tempo_entrada_s,tempo_saida_s,permanencia_s
1,carro,1,54,0.03,1.8,1.77
2,ônibus,1,141,0.03,4.7,4.67
3,carro,1,53,0.03,1.77,1.73
4,carro,1,141,0.03,4.7,4.67
5,carro,1,89,0.03,2.97,2.93
6,carro,1,83,0.03,2.77,2.73
7,carro,1,20,0.03,0.67,0.63
8,carro,1,99,0.03,3.3,3.27
9,carro,1,131,0.03,4.37,4.33
10,carro,1,22,0.03,0.73,0.7
11,carro,1,141,0.03,4.7,4.67
12,carro,1,17,0.03,0.57,0.53
13,carro,1,139,0.03,4.63,4.6
14,carro,1,25,0.03,0.83,0.8
15,carro,1,141,0.03,4.7,4.67
16,moto,1,69,0.03,2.3,2.27
17,carro,1,141,0.03,4.7,4.67
18,caminhão,1,141,0.03,4.7,4.67
19,carro,1,113,0.03,3.77,3.73
20,moto,1,99,0.03,3.3,3.27
21,carro,1,141,0.03,4.7,4.67
22,carro,1,141,0.03,4.7,4.67
23,carro,1,141,0.03,4.7,4.67
24,moto,1,141,0.03,4.7,4.67
25,carro,1,141,0.03,4.7,4.67
26,carro,1,125,0.03,4.17,4.13
27,carro,1,141,0.03,4.7,4.67
28,carro,1,98,0.03,3.27,3.23
29,moto,1,29,0.03,0.97,0.93
30,carro,1,47,0.03,1.57,1.53
31,carro,1,141,0.03,4.7,4.67
32,carro,1,43,0.03,1.43,1.4
33,moto,1,139,0.03,4.63,4.6
34,caminhão,1,141,0.03,4.7,4.67
35,carro,1,141,0.03,4.7,4.67
36,carro,1,141,0.03,4.7,4.67
37,carro,1,141,0.03,4.7,4.67
38,carro,1,23,0.03,0.77,0.73
39,carro,1,141,0.03,4.7,4.67
40,carro,1,53,0.03,1.77,1.73
41,carro,1,141,0.03,4.7,4.67
42,caminhão,4,141,0.13,4.7,4.57
43,carro,4,9,0.13,0.3,0.17
45,carro,5,7,0.17,0.23,0.07
62,moto,17,141,0.57,4.7,4.13
71,carro,21,96,0.7,3.2,2.5
77,carro,23,118,0.77,3.93,3.17
81,carro,25,39,0.83,1.3,0.47
85,carro,29,141,0.97,4.7,3.73
87,carro,30,141,1.0,4.7,3.7
91,carro,32,141,1.07,4.7,3.63
95,carro,36,141,1.2,4.7,3.5
97,carro,37,141,1.23,4.7,3.47
104,carro,44,141,1.47,4.7,3.23
105,moto,45,141,1.5,4.7,3.2
117,carro,56,141,1.87,4.7,2.83
119,carro,59,141,1.97,4.7,2.73
145,carro,70,141,2.33,4.7,2.37
151,moto,72,74,2.4,2.47,0.07
154,carro,73,133,2.43,4.43,2.0
157,carro,76,91,2.53,3.03,0.5
159,caminhão,82,88,2.73,2.93,0.2
164,carro,87,141,2.9,4.7,1.8
168,carro,90,141,3.0,4.7,1.7
169,carro,91,91,3.03,3.03,0.0
184,carro,105,141,3.5,4.7,1.2
186,carro,107,107,3.57,3.57,0.0
188,moto,108,108,3.6,3.6,0.0
191,carro,109,141,3.63,4.7,1.07
199,carro,116,141,3.87,4.7,0.83
201,carro,118,124,3.93,4.13,0.2
205,moto,123,141,4.1,4.7,0.6
209,caminhão,133,135,4.43,4.5,0.07
214,carro,136,141,4.53,4.7,0.17
215,carro,136,141,4.53,4.7,0.17
216,caminhão,137,141,4.57,4.7,0.13
220,carro,139,141,4.63,4.7,0.07
221,moto,141,141,4.7,4.7,0.0
